fixture	ref_exit	ref_files	ref_class	zrs_exit	zrs_files	zrs_class	verdict
abbr_too_long	0	1	AbbreviationPolicyViolation	0	1	AbbreviationPolicyViolation	class_exit_match
continuation_without_zone	1	0	UnknownLineType	1	0	ContinuationWithoutZone	intentional_divergence
duplicate_zone	1	0	DuplicateZone	1	0	DuplicateZone	class_exit_match
field_count	1	0	InvalidFieldCount	1	0	InvalidFieldCount	class_exit_match
invalid_day_rule	1	0	InvalidDayRule	1	0	InvalidDayRule	class_exit_match
invalid_month	1	0	InvalidMonth	1	0	InvalidMonth	class_exit_match
invalid_time_suffix	1	0	InvalidTimeSuffix	1	0	InvalidTimeSuffix	class_exit_match
nul_byte	1	0	NulByteInInput	1	0	NulByteInInput	class_exit_match
overlong_line	1	0	OverlongInputLine	1	0	OverlongInputLine	class_exit_match
partial_output	1	0	OutputPathTraversal	1	0	OutputPathTraversal	class_exit_match
path_traversal_name	1	0	OutputPathTraversal	1	0	OutputPathTraversal	class_exit_match
simultaneous_transition	1	1	SimultaneousTransition	1	0	SimultaneousTransition	safer_no_partial
unknown_line_type	1	0	UnknownLineType	1	0	UnknownLineType	class_exit_match
unterminated_line	1	0	UnterminatedInputLine	1	0	UnterminatedInputLine	class_exit_match
unterminated_quote	1	0	UnterminatedQuote	1	0	UnterminatedQuote	class_exit_match
value_over_24h	0	1	?	0	1	?	warning_match
yearistype_default	1	0	UnsupportedRuleType	1	0	UnsupportedRuleType	class_exit_match
