release_id	eozone	oracle_files	zrs_files	fix_compared	fix_match	fix_mismatch	empty_footer	verdict	finding
1996l	Australia/Adelaide	461	461	6	6	0	no	match	-
1996n	Australia/Adelaide	474	472	6	6	0	no	match	-
1997a	Australia/Adelaide	476	474	6	6	0	no	match	-
1997b	Australia/Adelaide	476	474	6	6	0	no	match	-
1997c	Australia/Adelaide	476	474	6	6	0	no	match	-
1997d	Australia/Adelaide	476	474	6	6	0	no	match	-
1997e	Australia/Adelaide	476	476	6	6	0	no	match	-
1997f	Australia/Adelaide	476	476	6	6	0	no	match	-
1997g	Australia/Adelaide	476	476	6	6	0	no	match	-
1997h	Australia/Adelaide	476	476	6	6	0	no	match	-
1997i	Australia/Adelaide	476	476	6	6	0	no	match	-
1997j	Australia/Adelaide	476	476	6	6	0	no	match	-
1997k	Australia/Adelaide	476	476	6	6	0	no	match	-
1998a	Australia/Adelaide	476	476	6	6	0	no	match	-
1998b	Australia/Adelaide	476	476	6	6	0	no	match	-
1998c	Australia/Adelaide	476	476	6	6	0	no	match	-
1998d	Australia/Adelaide	476	476	6	6	0	no	match	-
1998e	Australia/Adelaide	477	477	6	6	0	no	match	-
1998h	Australia/Adelaide	480	480	6	6	0	no	match	-
1998i	Australia/Adelaide	480	480	6	6	0	no	match	-
1999a	Australia/Adelaide	480	480	6	6	0	no	match	-
1999b	Australia/Adelaide	482	482	6	6	0	no	match	-
1999c	Australia/Adelaide	483	483	6	6	0	no	match	-
1999d	Australia/Adelaide	483	483	6	6	0	no	match	-
1999e	Australia/Adelaide	483	483	6	6	0	no	match	-
1999f	Australia/Adelaide	484	484	6	6	0	no	match	-
1999g	Australia/Adelaide	484	484	6	6	0	no	match	-
1999h	Australia/Adelaide	484	484	6	6	0	no	match	-
1999i	Australia/Adelaide	486	486	6	6	0	no	match	-
1999j	Australia/Adelaide	489	489	6	6	0	no	match	-
2000a	Australia/Adelaide	493	493	6	6	0	no	match	-
2000b	Australia/Adelaide	493	493	6	6	0	no	match	-
2000c	Australia/Adelaide	493	493	6	6	0	no	match	-
2000d	Australia/Adelaide	493	493	6	6	0	no	match	-
2000e	Australia/Adelaide	495	495	6	6	0	no	match	-
93b	Australia/South	112	111	1	1	0	yes	match	-
93c	Australia/South	112	111	1	1	0	yes	match	-
93d	Australia/South	112	111	1	1	0	yes	match	-
93e	Australia/South	113	112	1	1	0	yes	match	-
93f	Australia/South	114	113	1	1	0	yes	match	-
93g	Australia/Adelaide	409	389	6	6	0	yes	match	-
94a	Australia/Adelaide	409	389	6	6	0	yes	match	-
94b	Australia/Adelaide	411	391	6	6	0	yes	match	-
94d	Australia/Adelaide	406	387	6	6	0	yes	match	-
94e	Australia/Adelaide	408	395	6	6	0	yes	match	-
94f	Australia/Adelaide	409	395	6	6	0	yes	match	-
94h	Australia/Adelaide	410	396	6	6	0	no	match	-
95b	Australia/Adelaide	413	399	6	6	0	no	match	-
95c	Australia/Adelaide	412	397	6	6	0	no	match	-
95d	Australia/Adelaide	413	398	6	6	0	no	match	-
95e	Australia/Adelaide	413	398	6	6	0	no	match	-
95f	Australia/Adelaide	413	398	6	6	0	no	match	-
95g	Australia/Adelaide	413	398	6	6	0	no	match	-
95h	Australia/Adelaide	413	398	6	6	0	no	match	-
95i	Australia/Adelaide	413	398	6	6	0	no	match	-
95k	Australia/Adelaide	420	405	6	6	0	no	match	-
95l	Australia/Adelaide	420	405	6	6	0	no	match	-
95m	Australia/Adelaide	437	422	6	6	0	no	match	-
96a	Australia/Adelaide	437	422	6	6	0	no	match	-
96b	Australia/Adelaide	438	423	6	6	0	no	match	-
96c	Australia/Adelaide	438	423	6	6	0	no	match	-
96d	Australia/Adelaide	439	424	6	6	0	no	match	-
96e	Australia/Adelaide	439	424	6	6	0	no	match	-
96h	Australia/Adelaide	440	440	6	6	0	no	match	-
96i	Australia/Adelaide	452	452	6	6	0	no	match	-
96k	Australia/Adelaide	461	461	6	6	0	no	match	-
