release_id	archive	sha256	sig	source_files	ref_compile	zrs_compile	ref_files	zrs_files	fix_avail	fix_match	zdump_mismatch	verdict	finding
1996l	tzdata1996l.tar.gz	623a48745864731e…	no_signature_available	9	fail	ok	0	456	0/7	0	0	reference-build-incompatible	-
1996n	tzdata1996n.tar.gz	9f26873c22d1cb31…	no_signature_available	9	fail	ok	0	469	0/7	0	0	reference-build-incompatible	-
1997a	tzdata1997a.tar.gz	5713250de4af5a0c…	no_signature_available	9	fail	ok	0	471	0/7	0	0	reference-build-incompatible	-
1997b	tzdata1997b.tar.gz	8a6c0801bb247434…	no_signature_available	9	fail	ok	0	471	0/7	0	0	reference-build-incompatible	-
1997c	tzdata1997c.tar.gz	ed75b22a4c854aef…	no_signature_available	9	fail	ok	0	471	0/7	0	0	reference-build-incompatible	-
1997d	tzdata1997d.tar.gz	05733d47c02b294d…	no_signature_available	9	fail	ok	0	471	0/7	0	0	reference-build-incompatible	-
1997e	tzdata1997e.tar.gz	4172655ddfe5dd78…	no_signature_available	9	fail	ok	0	473	0/7	0	0	reference-build-incompatible	-
1997f	tzdata1997f.tar.gz	8e127212db36db93…	no_signature_available	9	fail	ok	0	473	0/7	0	0	reference-build-incompatible	-
1997g	tzdata1997g.tar.gz	a6bb1b29a9e2288f…	no_signature_available	9	fail	ok	0	473	0/7	0	0	reference-build-incompatible	-
1997h	tzdata1997h.tar.gz	dba0f910df5fa9dc…	no_signature_available	9	fail	ok	0	473	0/7	0	0	reference-build-incompatible	-
1997i	tzdata1997i.tar.gz	aeb468b7f52097c4…	no_signature_available	9	fail	ok	0	473	0/7	0	0	reference-build-incompatible	-
1997j	tzdata1997j.tar.gz	7d5a15ec86a40cc8…	no_signature_available	9	fail	ok	0	473	0/7	0	0	reference-build-incompatible	-
1997k	tzdata1997k.tar.gz	c05ff9b2576f9650…	no_signature_available	9	fail	ok	0	473	0/7	0	0	reference-build-incompatible	-
1998a	tzdata1998a.tar.gz	066479d0da15f3fb…	no_signature_available	9	fail	ok	0	473	0/7	0	0	reference-build-incompatible	-
1998b	tzdata1998b.tar.gz	4313a44490b8ec8e…	no_signature_available	9	fail	ok	0	473	0/7	0	0	reference-build-incompatible	-
1998c	tzdata1998c.tar.gz	554807903af35438…	no_signature_available	9	fail	ok	0	473	0/7	0	0	reference-build-incompatible	-
1998d	tzdata1998d.tar.gz	8991a7066d46f230…	no_signature_available	9	fail	ok	0	473	0/7	0	0	reference-build-incompatible	-
1998e	tzdata1998e.tar.gz	8bdd9ae68bc39cb2…	no_signature_available	9	fail	ok	0	474	0/7	0	0	reference-build-incompatible	-
1998h	tzdata1998h.tar.gz	860728777a740bba…	no_signature_available	9	fail	ok	0	478	0/7	0	0	reference-build-incompatible	-
1998i	tzdata1998i.tar.gz	d2dde4ba94058ba2…	no_signature_available	9	fail	ok	0	478	0/7	0	0	reference-build-incompatible	-
1999a	tzdata1999a.tar.gz	ae74120ccb18998e…	no_signature_available	9	fail	ok	0	478	0/7	0	0	reference-build-incompatible	-
1999b	tzdata1999b.tar.gz	d18af887eac875bd…	no_signature_available	9	fail	ok	0	480	0/7	0	0	reference-build-incompatible	-
