filename	type	release_id	size	date	sig_availability	url
tz32code2006b.tar.gz	tzcode	2006b			no_signature_available	https://data.iana.org/time-zones/releases/tz32code2006b.tar.gz
tz64code2006b.tar.gz	tzcode	2006b			no_signature_available	https://data.iana.org/time-zones/releases/tz64code2006b.tar.gz
tzcode1996m.tar.gz	tzcode	1996m			no_signature_available	https://data.iana.org/time-zones/releases/tzcode1996m.tar.gz
tzcode1996n.tar.gz	tzcode	1996n			no_signature_available	https://data.iana.org/time-zones/releases/tzcode1996n.tar.gz
tzcode1996o.tar.gz	tzcode	1996o			no_signature_available	https://data.iana.org/time-zones/releases/tzcode1996o.tar.gz
tzcode1997a.tar.gz	tzcode	1997a			no_signature_available	https://data.iana.org/time-zones/releases/tzcode1997a.tar.gz
tzcode1997b.tar.gz	tzcode	1997b			no_signature_available	https://data.iana.org/time-zones/releases/tzcode1997b.tar.gz
tzcode1997c.tar.gz	tzcode	1997c			no_signature_available	https://data.iana.org/time-zones/releases/tzcode1997c.tar.gz
tzcode1997d.tar.gz	tzcode	1997d			no_signature_available	https://data.iana.org/time-zones/releases/tzcode1997d.tar.gz
tzcode1997e.tar.gz	tzcode	1997e			no_signature_available	https://data.iana.org/time-zones/releases/tzcode1997e.tar.gz
tzcode1997f.tar.gz	tzcode	1997f			no_signature_available	https://data.iana.org/time-zones/releases/tzcode1997f.tar.gz
tzcode1997g.tar.gz	tzcode	1997g			no_signature_available	https://data.iana.org/time-zones/releases/tzcode1997g.tar.gz
tzcode1997h.tar.gz	tzcode	1997h			no_signature_available	https://data.iana.org/time-zones/releases/tzcode1997h.tar.gz
tzcode1997i.tar.gz	tzcode	1997i			no_signature_available	https://data.iana.org/time-zones/releases/tzcode1997i.tar.gz
tzcode1998a.tar.gz	tzcode	1998a			no_signature_available	https://data.iana.org/time-zones/releases/tzcode1998a.tar.gz
tzcode1998b.tar.gz	tzcode	1998b			no_signature_available	https://data.iana.org/time-zones/releases/tzcode1998b.tar.gz
tzcode1998c.tar.gz	tzcode	1998c			no_signature_available	https://data.iana.org/time-zones/releases/tzcode1998c.tar.gz
