bundle_id	version_file	news_top	sig	hash16	has_data	has_code	data_vs_pair	data1_verdict	verdict
2016g	2016g	2016g	GOODSIG	145670c411713883	yes	yes	match(9/9)	match	verified_combined_release
2016h	2016h	2016h	GOODSIG	1080df7ec5a53350	yes	yes	match(9/9)	match	verified_combined_release
2016i	2016i	2016i	GOODSIG	77c75cfc68295d29	yes	yes	match(9/9)	match	verified_combined_release
2016j	2016j	2016j	GOODSIG	f307448d6f251bde	yes	yes	match(9/9)	match	verified_combined_release
2017a	2017a	2017a	GOODSIG	4283ece165c6711f	yes	yes	match(9/9)	match	verified_combined_release
2017b	2017b	2017b	GOODSIG	0bfecb6c05ae0b2e	yes	yes	match(9/9)	match	verified_combined_release
2017c	2017c	2017c	GOODSIG	4289fd76a7ee17c1	yes	yes	match(9/9)	match	verified_combined_release
2018a	2018a	2018a	GOODSIG	f0cb440ef5defc72	yes	yes	match(9/9)	match	verified_combined_release
2018b	2018b	2018b	GOODSIG	c66d5433092bc82a	yes	yes	match(9/9)	match	verified_combined_release
2018c	2018c	2018c	GOODSIG	83637e36d58cbbce	yes	yes	match(9/9)	match	verified_combined_release
2018d	2018d	2018d	GOODSIG	7a96f575c0ffee9f	yes	yes	match(9/9)	match	verified_combined_release
2018e	2018e	2018e	GOODSIG	b1c23c7825f5f842	yes	yes	match(9/9)	match	verified_combined_release
2018f	2018f	2018f	GOODSIG	a7c1dc070756dcee	yes	yes	match(9/9)	match	verified_combined_release
2018g	2018g	2018g	GOODSIG	bdbdc46c1927f172	yes	yes	match(9/9)	match	verified_combined_release
2018h	2018h	2018h	GOODSIG	58eb916a8920cf30	yes	yes	match(9/9)	match	verified_combined_release
2018i	2018i	2018i	GOODSIG	1b7f91de728295d6	yes	yes	match(9/9)	match	verified_combined_release
2019a	2019a	20198	GOODSIG	16d10794dd8de8eb	yes	yes	match(9/9)	match	verified_combined_release
2019b	2019b	2019b	GOODSIG	180adb8a6d9653a4	yes	yes	match(9/9)	match	verified_combined_release
2019c	2019c	2019c	GOODSIG	0f9ebf1d04c21d95	yes	yes	match(9/9)	match	verified_combined_release
2020a	2020a	2020a	GOODSIG	99a6e52363fdb9a3	yes	yes	match(9/9)	match	verified_combined_release
2020b	2020b	2020b	GOODSIG	de1345ff0f5672a7	yes	yes	match(9/9)	match	verified_combined_release
2020c	2020c	2020c	GOODSIG	659c3999b7b2f23c	yes	yes	match(9/9)	match	verified_combined_release
2020d	2020d	2020d	GOODSIG	ac212a0cdb3bd043	yes	yes	match(9/9)	match	verified_combined_release
2020e	2020e	2020e	GOODSIG	03aa25218728e0f2	yes	yes	match(9/9)	match	verified_combined_release
2020f	2020f	2020f	GOODSIG	6226b38b7434b66f	yes	yes	match(9/9)	match	verified_combined_release
2021a	2021a	2021a	GOODSIG	21bf125de7b0c486	yes	yes	match(9/9)	match	verified_combined_release
2021b	2021b	2021b	GOODSIG	59d5c385e6043d81	yes	yes	match(9/9)	match	verified_combined_release
2021c	2021c	2021c	GOODSIG	8f13045dd057aeac	yes	yes	match(9/9)	match	verified_combined_release
2021d	2021d	2021d	GOODSIG	ca2b5c91eb6a3cbb	yes	yes	match(9/9)	match	verified_combined_release
2021e	2021e	2021e	GOODSIG	a3f98ee8bd76d58e	yes	yes	match(9/9)	match	verified_combined_release
2022a	2022a	2022a	GOODSIG	46123b769c551901	yes	yes	match(9/9)	match	verified_combined_release
2022b	2022b	2022b	GOODSIG	ac7e86da284b3032	yes	yes	match(9/9)	match	verified_combined_release
2022c	2022c	2022c	GOODSIG	2e178330282e2832	yes	yes	match(9/9)	match	verified_combined_release
2022d	2022d	2022d	GOODSIG	60d1d7ab9f230fcb	yes	yes	match(9/9)	match	verified_combined_release
2022e	2022e	2022e	GOODSIG	4e2258a521ae0daf	yes	yes	match(9/9)	match	verified_combined_release
2022f	2022f	2022f	GOODSIG	180343dda8b24e00	yes	yes	match(9/9)	match	verified_combined_release
2022g	2022g	2022g	GOODSIG	579013083a7b0fd8	yes	yes	match(9/9)	match	verified_combined_release
2023a	2023a	2023a	GOODSIG	4ab2805f15f9a5a6	yes	yes	match(9/9)	match	verified_combined_release
2023b	2023b	2023b	GOODSIG	2694091b28981ae5	yes	yes	match(9/9)	match	verified_combined_release
2023c	2023c	2023c	GOODSIG	08fd090f1a16d522	yes	yes	match(9/9)	match	verified_combined_release
2023d	2023d	2023d	GOODSIG	696849b454176ea8	yes	yes	match(9/9)	match	verified_combined_release
2024a	2024a	2024a	GOODSIG	511af6b467f40b1e	yes	yes	match(9/9)	match	verified_combined_release
2024b	2024b	2024b	GOODSIG	22674a67786d3ec1	yes	yes	match(9/9)	match	verified_combined_release
2025a	2025a	2025a	GOODSIG	86882399c5869397	yes	yes	match(9/9)	match	verified_combined_release
2025b	2025b	2025b	GOODSIG	ec2f98c739009fd8	yes	yes	match(9/9)	match	verified_combined_release
2025c	2025c	2025c	GOODSIG	fbe5b52a151c992c	yes	yes	match(9/9)	match	verified_combined_release
2026a	2026a	2026a	GOODSIG	0913509a37f26b81	yes	yes	match(9/9)	match	verified_combined_release
2026b	2026b	2026a	GOODSIG	ffad46a04c8d1624	yes	yes	match(9/9)	match	verified_combined_release
