artifact	type	sha256	sig_status
tzdb-2016g.tar.lz	tzdb_complete_bundle	145670c411713883…	GOODSIG
tzdb-2016h.tar.lz	tzdb_complete_bundle	1080df7ec5a53350…	GOODSIG
tzdb-2016i.tar.lz	tzdb_complete_bundle	77c75cfc68295d29…	GOODSIG
tzdb-2016j.tar.lz	tzdb_complete_bundle	f307448d6f251bde…	GOODSIG
tzdb-2017a.tar.lz	tzdb_complete_bundle	4283ece165c6711f…	GOODSIG
tzdb-2017b.tar.lz	tzdb_complete_bundle	0bfecb6c05ae0b2e…	GOODSIG
tzdb-2017c.tar.lz	tzdb_complete_bundle	4289fd76a7ee17c1…	GOODSIG
tzdb-2018a.tar.lz	tzdb_complete_bundle	f0cb440ef5defc72…	GOODSIG
tzdb-2018b.tar.lz	tzdb_complete_bundle	c66d5433092bc82a…	GOODSIG
tzdb-2018c.tar.lz	tzdb_complete_bundle	83637e36d58cbbce…	GOODSIG
tzdb-2018d.tar.lz	tzdb_complete_bundle	7a96f575c0ffee9f…	GOODSIG
tzdb-2018e.tar.lz	tzdb_complete_bundle	b1c23c7825f5f842…	GOODSIG
tzdb-2018f.tar.lz	tzdb_complete_bundle	a7c1dc070756dcee…	GOODSIG
tzdb-2018g.tar.lz	tzdb_complete_bundle	bdbdc46c1927f172…	GOODSIG
tzdb-2018h.tar.lz	tzdb_complete_bundle	58eb916a8920cf30…	GOODSIG
tzdb-2018i.tar.lz	tzdb_complete_bundle	1b7f91de728295d6…	GOODSIG
tzdb-2019a.tar.lz	tzdb_complete_bundle	16d10794dd8de8eb…	GOODSIG
tzdb-2019b.tar.lz	tzdb_complete_bundle	180adb8a6d9653a4…	GOODSIG
tzdb-2019c.tar.lz	tzdb_complete_bundle	0f9ebf1d04c21d95…	GOODSIG
tzdb-2020a.tar.lz	tzdb_complete_bundle	99a6e52363fdb9a3…	GOODSIG
tzdb-2020b.tar.lz	tzdb_complete_bundle	de1345ff0f5672a7…	GOODSIG
tzdb-2020c.tar.lz	tzdb_complete_bundle	659c3999b7b2f23c…	GOODSIG
tzdb-2020d.tar.lz	tzdb_complete_bundle	ac212a0cdb3bd043…	GOODSIG
tzdb-2020e.tar.lz	tzdb_complete_bundle	03aa25218728e0f2…	GOODSIG
tzdb-2020f.tar.lz	tzdb_complete_bundle	6226b38b7434b66f…	GOODSIG
tzdb-2021a.tar.lz	tzdb_complete_bundle	21bf125de7b0c486…	GOODSIG
tzdb-2021b.tar.lz	tzdb_complete_bundle	59d5c385e6043d81…	GOODSIG
tzdb-2021c.tar.lz	tzdb_complete_bundle	8f13045dd057aeac…	GOODSIG
tzdb-2021d.tar.lz	tzdb_complete_bundle	ca2b5c91eb6a3cbb…	GOODSIG
tzdb-2021e.tar.lz	tzdb_complete_bundle	a3f98ee8bd76d58e…	GOODSIG
tzdb-2022a.tar.lz	tzdb_complete_bundle	46123b769c551901…	GOODSIG
tzdb-2022b.tar.lz	tzdb_complete_bundle	ac7e86da284b3032…	GOODSIG
tzdb-2022c.tar.lz	tzdb_complete_bundle	2e178330282e2832…	GOODSIG
tzdb-2022d.tar.lz	tzdb_complete_bundle	60d1d7ab9f230fcb…	GOODSIG
tzdb-2022e.tar.lz	tzdb_complete_bundle	4e2258a521ae0daf…	GOODSIG
tzdb-2022f.tar.lz	tzdb_complete_bundle	180343dda8b24e00…	GOODSIG
tzdb-2022g.tar.lz	tzdb_complete_bundle	579013083a7b0fd8…	GOODSIG
tzdb-2023a.tar.lz	tzdb_complete_bundle	4ab2805f15f9a5a6…	GOODSIG
tzdb-2023b.tar.lz	tzdb_complete_bundle	2694091b28981ae5…	GOODSIG
tzdb-2023c.tar.lz	tzdb_complete_bundle	08fd090f1a16d522…	GOODSIG
tzdb-2023d.tar.lz	tzdb_complete_bundle	696849b454176ea8…	GOODSIG
tzdb-2024a.tar.lz	tzdb_complete_bundle	511af6b467f40b1e…	GOODSIG
tzdb-2024b.tar.lz	tzdb_complete_bundle	22674a67786d3ec1…	GOODSIG
tzdb-2025a.tar.lz	tzdb_complete_bundle	86882399c5869397…	GOODSIG
tzdb-2025b.tar.lz	tzdb_complete_bundle	ec2f98c739009fd8…	GOODSIG
tzdb-2025c.tar.lz	tzdb_complete_bundle	fbe5b52a151c992c…	GOODSIG
tzdb-2026a.tar.lz	tzdb_complete_bundle	0913509a37f26b81…	GOODSIG
tzdb-2026b.tar.lz	tzdb_complete_bundle	ffad46a04c8d1624…	GOODSIG
tzdata2026b.tar.gz	tzdata	114543d9f19a6bfe…	GOODSIG
tzdata2026a.tar.gz	tzdata	77b541725937bb53…	GOODSIG
tzdata2025b.tar.gz	tzdata	11810413345fc780…	GOODSIG
tzdata2024a.tar.gz	tzdata	0d0434459acbd205…	GOODSIG
tzdata2020a.tar.gz	tzdata	547161eca24d344e…	GOODSIG
tzdata2018e.tar.gz	tzdata	6b288e5926841a4c…	GOODSIG
tzdata2015g.tar.gz	tzdata	b923cdbf07849169…	GOODSIG
