release_id	filename_id	version_file	news_top	sig	bundle	verdict	note
1996l	1996l	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1996n	1996n	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1997a	1997a	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1997b	1997b	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1997c	1997c	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1997d	1997d	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1997e	1997e	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1997f	1997f	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1997g	1997g	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1997h	1997h	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1997i	1997i	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1997j	1997j	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1997k	1997k	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1998a	1998a	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1998b	1998b	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1998c	1998c	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1998d	1998d	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1998e	1998e	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1998h	1998h	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1998i	1998i	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1999a	1999a	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1999b	1999b	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1999c	1999c	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1999d	1999d	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1999e	1999e	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1999f	1999f	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1999g	1999g	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1999h	1999h	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1999i	1999i	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
1999j	1999j	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
2000a	2000a	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
2000b	2000b	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
2000c	2000c	-	-	unverified	pair_only	legacy_unstructured	only filename tag (no version file, no NEWS heading)
