release_id	src_regions	oracle_files	zrs_files	fix_compared	fix_match	fix_mismatch	verdict	finding
1996l	9	461	456	6	6	0	match	-
1996n	9	474	469	6	6	0	match	-
1997a	9	476	471	6	6	0	match	-
1997b	9	476	471	6	6	0	match	-
1997c	9	476	471	6	6	0	match	-
1997d	9	476	471	6	6	0	match	-
1997e	9	476	473	6	6	0	match	-
1997f	9	476	473	6	6	0	match	-
1997g	9	476	473	6	6	0	match	-
1997h	9	476	473	6	6	0	match	-
1997i	9	476	473	6	6	0	match	-
1997j	9	476	473	6	6	0	match	-
1997k	9	476	473	6	6	0	match	-
1998a	9	476	473	6	6	0	match	-
1998b	9	476	473	6	6	0	match	-
1998c	9	476	473	6	6	0	match	-
1998d	9	476	473	6	6	0	match	-
1998e	9	477	474	6	6	0	match	-
1998h	9	480	478	6	6	0	match	-
1998i	9	480	478	6	6	0	match	-
1999a	9	480	478	6	6	0	match	-
1999b	9	482	480	6	6	0	match	-
1999c	9	483	481	6	6	0	match	-
1999d	9	483	481	6	6	0	match	-
1999e	9	483	481	6	6	0	match	-
1999f	9	484	482	6	6	0	match	-
1999g	9	484	480	6	6	0	match	-
1999h	9	484	480	6	6	0	match	-
1999i	9	486	482	6	6	0	match	-
1999j	9	489	484	6	6	0	match	-
2000a	9	493	490	6	6	0	match	-
2000b	9	493	487	6	6	0	match	-
2000c	9	493	488	6	6	0	match	-
2000d	9	493	488	6	6	0	match	-
2000e	9	495	490	6	6	0	match	-
93b	8	112	109	0	0	0	deferred-perpetual-footer	eozone-skipped:Australia/South
93c	8	112	109	0	0	0	deferred-perpetual-footer	eozone-skipped:Australia/South
93d	8	112	109	0	0	0	deferred-perpetual-footer	eozone-skipped:Australia/South
93e	8	113	110	0	0	0	deferred-perpetual-footer	eozone-skipped:Australia/South
93f	8	114	111	0	0	0	deferred-perpetual-footer	eozone-skipped:Australia/South
93g	9	409	377	4	4	0	deferred-perpetual-footer	eozone-skipped:Australia/Adelaide
94a	9	409	377	4	4	0	deferred-perpetual-footer	eozone-skipped:Australia/Adelaide
94b	9	411	379	4	4	0	deferred-perpetual-footer	eozone-skipped:Australia/Adelaide
94d	9	406	375	4	4	0	deferred-perpetual-footer	eozone-skipped:Australia/Adelaide
94e	9	408	377	4	4	0	deferred-perpetual-footer	eozone-skipped:Australia/Adelaide
94f	9	409	377	4	4	0	deferred-perpetual-footer	eozone-skipped:Australia/Adelaide
94h	9	410	380	6	6	0	match	-
95b	9	413	383	6	6	0	match	-
95c	9	412	381	6	6	0	match	-
95d	9	413	382	6	6	0	match	-
95e	9	413	382	6	6	0	match	-
95f	9	413	382	6	6	0	match	-
95g	9	413	382	6	6	0	match	-
95h	9	413	382	6	6	0	match	-
95i	9	413	382	6	6	0	match	-
95k	9	420	389	6	6	0	match	-
95l	9	420	390	6	6	0	match	-
95m	9	437	415	6	6	0	match	-
96a	9	437	415	6	6	0	match	-
96b	9	438	416	6	6	0	match	-
96c	9	438	416	6	6	0	match	-
96d	9	439	417	6	6	0	match	-
96e	9	439	417	6	6	0	match	-
96h	9	440	435	6	6	0	match	-
96i	9	452	447	6	6	0	match	-
96k	9	461	456	6	6	0	match	-
